,url,check
0,https://www.citizensadvice.org.uk/,
5,https://www.citizensadvice.org.uk/bmis/,
6,https://www.citizensadvice.org.uk/bmis/Team/,
7,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/,
8,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/,
9,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/recruiting-paid-staff/,
10,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/recruiting-paid-staff/job-advert-form-cablink-and-public-site/,
11,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Who-can-work-or-volunteer-for-a-bureau-overview/,
12,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/job-descriptions-and-person-specifications1/,
13,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/,
14,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Administrative-support-tool/,
15,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Chief-officer-tool/,
16,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Deputy-service-manager-tool/,
17,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Gateway-assessor-tool/,
18,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Generalist-adviser-tool/,
19,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Financial-capability-worker-tool/,
20,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/IT-co-ordinator-tool/,
21,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Reception-worker-tool/,
22,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Social-policy-job-tool/,
23,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Specialist-adviser-caseworker-tool/,
24,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Supervision-and-training-support-tool/,
25,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/Volunteer-development-officer-manager-tool/,
26,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Job-descriptions-and-person-specifications/universal-support-help-to-claim-adviser/,
27,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Application-form-for-paid-staff/,
28,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Pre-employment-Checks/,
29,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Employing-an-in-house-solicitor/,
30,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Getting-a-DBS-check---the-process/,
31,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Giving-and-receiving-references/,
32,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Ex-offenders-guidance-and-policy-on-recruitment/,
33,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Temporary-agency-workers/,
34,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Regulation-of-immigration-advisers/,
35,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Financial-capability-paid-staff-recruitment-and-selection/,
36,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Recruitment-of-paid-staff/Disability-equality-how-to-adopt-two-ticks/,
37,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/,
38,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Employment-law-updates/,
39,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Permanent-employment-contract-model-and-guidance/,
40,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Fixed-term-employment-contract-model-and-guidance/,
41,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Appendices-to-model-employment-contracts-and-guidance/,
42,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Employment-status/,
43,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Implied-contractual-terms/,
44,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Variation_of_contracts/,
45,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Using-fixed-term-contracts/,
46,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Transfer-of-Undertakings-Protection-of-Employment-Regulations-TUPE/,
47,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Statutory-right-to-be-accompanied/,
48,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Paid-staff-undertaking-volunteer-roles/,
49,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Secondment/,
